id,name,category
190,Environmental protection,8
191,Social science,18
192,Neuroscience,17
193,Psychoanalysis,17
194,Gastroenterology,13
195,General surgery,13
196,Medical education,13
197,Anesthesia,13
198,Cardiology,13
199,Systems engineering,6
200,Engineering management,6
201,Process management,6
202,Photochemistry,3
203,Nuclear medicine,13
204,Radiology,13
205,Environmental health,13
206,Intensive care medicine,13
207,Communication,18
208,Industrial engineering,6
209,Mathematical analysis,12
210,Polymer chemistry,11
211,Polymer science,11
212,Ophthalmology,13
213,Optometry,13
214,Epistemology,14
215,Computer engineering,6
216,Ethnology,18
217,Applied mathematics,12
218,Mineralogy,9
219,Physical therapy,13
220,Optoelectronics,15
221,Optics,15
222,Computational biology,1
223,Bioinformatics,1
224,Evolutionary biology,1
225,Econometrics,12
226,Animal science,1
227,Food science,3
228,Medical physics,15
229,Data science,4
230,Nanotechnology,11
231,Stereochemistry,3
232,Statistical physics,15
233,Crystallography,3
234,Criminology,18
235,Simulation,6
236,Statistics,12
237,Thermodynamics,15
238,Pediatrics,13
239,Manufacturing engineering,6
240,Architectural engineering,6
241,Construction engineering,6
242,Audiology,13
243,Chemical engineering,6
244,Alternative medicine,13
245,Forensic engineering,6
246,Medicinal chemistry,3
247,Pulp and paper industry,6
248,Water resource management,7
249,Calculus,12
250,Management,5
251,Engineering drawing,6
252,Mining engineering,9
253,Nuclear chemistry,3
254,Radiochemistry,3
255,Classical economics,5
256,Process engineering,6
257,Computational physics,15
258,Toxicology,1
259,Acoustics,15
260,Physical medicine and rehabilitation,13
261,Astrobiology,15
262,Automotive engineering,6
263,Transport engineering,6
264,Biotechnology,1
265,Agricultural engineering,6
266,Petroleum engineering,9
267,Biochemical engineering,6
268,Cartography,8
269,Computational science,12
270,Dentistry,13
271,Orthodontics,13
272,Engineering ethics,6
273,Chromatography,3
274,Environmental ethics,14
275,Geometry,12
276,Andrology,13
277,Applied psychology,17
278,Humanities,14
279,Biomedical engineering,13
280,Reliability engineering,6
281,Marine engineering,6
282,Combinatorial chemistry,3
283,Urology,13
284,Library science,4
285,Nuclear engineering,6
286,Genealogy,10
287,Dermatology,13
288,Biological system,1
289,Arithmetic,12
290,Engineering physics,15
291,Ceramic materials,11
292,Computer graphics (images),4
